"Regulating Agency","County Served","PWS","PWS Name","Facility ID","Facility Name","Sample Date","Received Date","Analyte Abbreviation","Analyte Name","Result (ng/L)","MRL (ng/L)","Sample ID"
"KLAMATH COUNTY","Klamath","00450","LAKESIDE MOBILE HOME & RV PARK","EP-A","EP for WELL #1","05/10/2023","06/09/2023","PFHxA","Perfluorohexanoic acid","ND","3.91","2305123-01"
"KLAMATH COUNTY","Klamath","00450","LAKESIDE MOBILE HOME & RV PARK","EP-A","EP for WELL #1","05/10/2023","06/09/2023","PFHxS","Perfluorohexanesulfonic acid","ND","9.77","2305123-01"
"KLAMATH COUNTY","Klamath","00450","LAKESIDE MOBILE HOME & RV PARK","EP-A","EP for WELL #1","05/10/2023","06/09/2023","PFMBA","Perfluoro-4-methoxybutanoic acid","ND","19.5","2305123-01"
"KLAMATH COUNTY","Klamath","00450","LAKESIDE MOBILE HOME & RV PARK","EP-A","EP for WELL #1","05/10/2023","06/09/2023","PFMPA","Perfluoro-3-methoxypropanoic acid","ND","19.5","2305123-01"
"KLAMATH COUNTY","Klamath","00450","LAKESIDE MOBILE HOME & RV PARK","EP-A","EP for WELL #1","05/10/2023","06/09/2023","PFNA","Perfluorononanoic acid","ND","3.91","2305123-01"
"KLAMATH COUNTY","Klamath","00450","LAKESIDE MOBILE HOME & RV PARK","EP-A","EP for WELL #1","05/10/2023","06/09/2023","PFOA","Perfluorooctanoic acid","ND","3.91","2305123-01"
"KLAMATH COUNTY","Klamath","00450","LAKESIDE MOBILE HOME & RV PARK","EP-A","EP for WELL #1","05/10/2023","06/09/2023","PFOS","Perfluorooctanesulfonic acid","5.78","3.91","2305123-01"
"KLAMATH COUNTY","Klamath","00450","LAKESIDE MOBILE HOME & RV PARK","EP-A","EP for WELL #1","05/10/2023","06/09/2023","PFPeA","Perfluoropentanoic acid","ND","19.5","2305123-01"
"KLAMATH COUNTY","Klamath","00450","LAKESIDE MOBILE HOME & RV PARK","EP-A","EP for WELL #1","05/10/2023","06/09/2023","PFPeS","Perfluoropentanesulfonic acid","ND","3.91","2305123-01"
"KLAMATH COUNTY","Klamath","00450","LAKESIDE MOBILE HOME & RV PARK","EP-A","EP for WELL #1","05/10/2023","06/09/2023","PFUnA","Perfluoroundecanoic acid","ND","3.91","2305123-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","05/04/2023","06/09/2023","11Cl-PF3OUdS","11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid","ND","4.31","2305059-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","05/04/2023","06/09/2023","4:2FTS","1H,1H, 2H, 2H-Perfluorohexane sulfonic acid","ND","4.31","2305059-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","05/04/2023","06/09/2023","6:2FTS","1H,1H, 2H, 2H-Perfluorooctane sulfonic acid","ND","4.31","2305059-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","05/04/2023","06/09/2023","8:2FTS","1H,1H, 2H, 2H-Perfluorodecane sulfonic acid","ND","4.31","2305059-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","05/04/2023","06/09/2023","9Cl-PF3ONS","9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acd","ND","4.31","2305059-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","05/04/2023","06/09/2023","ADONA","4,8-Dioxa-3H-perfluorononanoic acid","ND","10.8","2305059-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","05/04/2023","06/09/2023","HFPO-DA","Hexafluoropropylene oxide dimer acid","ND","10.8","2305059-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","05/04/2023","06/09/2023","NFDHA","Nonafluoro-3,6-dioxaheptanoic acid","ND","21.5","2305059-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","05/04/2023","06/09/2023","PFBA","Perfluorobutanoic acid","ND","21.5","2305059-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","05/04/2023","06/09/2023","PFBS","Perfluorobutanesulfonic acid","ND","10.8","2305059-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","05/04/2023","06/09/2023","PFDA","Perfluorodecanoic acid","ND","4.31","2305059-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","05/04/2023","06/09/2023","PFDoA","Perfluorododecanoic acid","ND","10.8","2305059-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","05/04/2023","06/09/2023","PFEESA","Perfluoro(2-ethoxyethane)sulfonic acid","ND","4.31","2305059-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","05/04/2023","06/09/2023","PFHpA","Perfluoroheptanoic acid","20","4.31","2305059-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","05/04/2023","06/09/2023","PFHpS","Perfluoroheptanesulfonic acid","ND","4.31","2305059-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","05/04/2023","06/09/2023","PFHxA","Perfluorohexanoic acid","34.3","4.31","2305059-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","05/04/2023","06/09/2023","PFHxS","Perfluorohexanesulfonic acid","21.5","10.8","2305059-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","05/04/2023","06/09/2023","PFMBA","Perfluoro-4-methoxybutanoic acid","ND","21.5","2305059-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","05/04/2023","06/09/2023","PFMPA","Perfluoro-3-methoxypropanoic acid","ND","21.5","2305059-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","05/04/2023","06/09/2023","PFNA","Perfluorononanoic acid","ND","4.31","2305059-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","05/04/2023","06/09/2023","PFOA","Perfluorooctanoic acid","8.9","4.31","2305059-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","05/04/2023","06/09/2023","PFOS","Perfluorooctanesulfonic acid","ND","4.31","2305059-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","05/04/2023","06/09/2023","PFPeA","Perfluoropentanoic acid","30.1","21.5","2305059-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","05/04/2023","06/09/2023","PFPeS","Perfluoropentanesulfonic acid","4.85","4.31","2305059-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","05/04/2023","06/09/2023","PFUnA","Perfluoroundecanoic acid","ND","4.31","2305059-01"
"LINN COUNTY","Linn","00223","WHISPERING PINES MOBILE LODGE","EP-A","EP FOR WELL","05/04/2023","06/09/2023","11Cl-PF3OUdS","11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid","ND","4.21","2305060-01"
"LINN COUNTY","Linn","00223","WHISPERING PINES MOBILE LODGE","EP-A","EP FOR WELL","05/04/2023","06/09/2023","4:2FTS","1H,1H, 2H, 2H-Perfluorohexane sulfonic acid","ND","4.21","2305060-01"
"LINN COUNTY","Linn","00223","WHISPERING PINES MOBILE LODGE","EP-A","EP FOR WELL","05/04/2023","06/09/2023","6:2FTS","1H,1H, 2H, 2H-Perfluorooctane sulfonic acid","ND","4.21","2305060-01"
"LINN COUNTY","Linn","00223","WHISPERING PINES MOBILE LODGE","EP-A","EP FOR WELL","05/04/2023","06/09/2023","8:2FTS","1H,1H, 2H, 2H-Perfluorodecane sulfonic acid","ND","4.21","2305060-01"
"LINN COUNTY","Linn","00223","WHISPERING PINES MOBILE LODGE","EP-A","EP FOR WELL","05/04/2023","06/09/2023","9Cl-PF3ONS","9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acd","ND","4.21","2305060-01"
"LINN COUNTY","Linn","00223","WHISPERING PINES MOBILE LODGE","EP-A","EP FOR WELL","05/04/2023","06/09/2023","ADONA","4,8-Dioxa-3H-perfluorononanoic acid","ND","10.5","2305060-01"
"LINN COUNTY","Linn","00223","WHISPERING PINES MOBILE LODGE","EP-A","EP FOR WELL","05/04/2023","06/09/2023","HFPO-DA","Hexafluoropropylene oxide dimer acid","ND","10.5","2305060-01"
"LINN COUNTY","Linn","00223","WHISPERING PINES MOBILE LODGE","EP-A","EP FOR WELL","05/04/2023","06/09/2023","NFDHA","Nonafluoro-3,6-dioxaheptanoic acid","ND","21.1","2305060-01"
"LINN COUNTY","Linn","00223","WHISPERING PINES MOBILE LODGE","EP-A","EP FOR WELL","05/04/2023","06/09/2023","PFBA","Perfluorobutanoic acid","ND","21.1","2305060-01"
"LINN COUNTY","Linn","00223","WHISPERING PINES MOBILE LODGE","EP-A","EP FOR WELL","05/04/2023","06/09/2023","PFBS","Perfluorobutanesulfonic acid","ND","10.5","2305060-01"
"LINN COUNTY","Linn","00223","WHISPERING PINES MOBILE LODGE","EP-A","EP FOR WELL","05/04/2023","06/09/2023","PFDA","Perfluorodecanoic acid","ND","4.21","2305060-01"
"LINN COUNTY","Linn","00223","WHISPERING PINES MOBILE LODGE","EP-A","EP FOR WELL","05/04/2023","06/09/2023","PFDoA","Perfluorododecanoic acid","ND","10.5","2305060-01"
"LINN COUNTY","Linn","00223","WHISPERING PINES MOBILE LODGE","EP-A","EP FOR WELL","05/04/2023","06/09/2023","PFEESA","Perfluoro(2-ethoxyethane)sulfonic acid","ND","4.21","2305060-01"
"LINN COUNTY","Linn","00223","WHISPERING PINES MOBILE LODGE","EP-A","EP FOR WELL","05/04/2023","06/09/2023","PFHpA","Perfluoroheptanoic acid","ND","4.21","2305060-01"
"LINN COUNTY","Linn","00223","WHISPERING PINES MOBILE LODGE","EP-A","EP FOR WELL","05/04/2023","06/09/2023","PFHpS","Perfluoroheptanesulfonic acid","ND","4.21","2305060-01"
"LINN COUNTY","Linn","00223","WHISPERING PINES MOBILE LODGE","EP-A","EP FOR WELL","05/04/2023","06/09/2023","PFHxA","Perfluorohexanoic acid","ND","4.21","2305060-01"
"LINN COUNTY","Linn","00223","WHISPERING PINES MOBILE LODGE","EP-A","EP FOR WELL","05/04/2023","06/09/2023","PFHxS","Perfluorohexanesulfonic acid","ND","10.5","2305060-01"
"LINN COUNTY","Linn","00223","WHISPERING PINES MOBILE LODGE","EP-A","EP FOR WELL","05/04/2023","06/09/2023","PFMBA","Perfluoro-4-methoxybutanoic acid","ND","21.1","2305060-01"
"LINN COUNTY","Linn","00223","WHISPERING PINES MOBILE LODGE","EP-A","EP FOR WELL","05/04/2023","06/09/2023","PFMPA","Perfluoro-3-methoxypropanoic acid","ND","21.1","2305060-01"
"LINN COUNTY","Linn","00223","WHISPERING PINES MOBILE LODGE","EP-A","EP FOR WELL","05/04/2023","06/09/2023","PFNA","Perfluorononanoic acid","ND","4.21","2305060-01"
"LINN COUNTY","Linn","00223","WHISPERING PINES MOBILE LODGE","EP-A","EP FOR WELL","05/04/2023","06/09/2023","PFOA","Perfluorooctanoic acid","ND","4.21","2305060-01"
"LINN COUNTY","Linn","00223","WHISPERING PINES MOBILE LODGE","EP-A","EP FOR WELL","05/04/2023","06/09/2023","PFOS","Perfluorooctanesulfonic acid","5.92","4.21","2305060-01"
"LINN COUNTY","Linn","00223","WHISPERING PINES MOBILE LODGE","EP-A","EP FOR WELL","05/04/2023","06/09/2023","PFPeA","Perfluoropentanoic acid","ND","21.1","2305060-01"
"LINN COUNTY","Linn","00223","WHISPERING PINES MOBILE LODGE","EP-A","EP FOR WELL","05/04/2023","06/09/2023","PFPeS","Perfluoropentanesulfonic acid","ND","4.21","2305060-01"
"LINN COUNTY","Linn","00223","WHISPERING PINES MOBILE LODGE","EP-A","EP FOR WELL","05/04/2023","06/09/2023","PFUnA","Perfluoroundecanoic acid","ND","4.21","2305060-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","05/02/2023","06/09/2023","11Cl-PF3OUdS","11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid","ND","4.31","2305039-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","05/02/2023","06/09/2023","4:2FTS","1H,1H, 2H, 2H-Perfluorohexane sulfonic acid","ND","4.31","2305039-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","05/02/2023","06/09/2023","6:2FTS","1H,1H, 2H, 2H-Perfluorooctane sulfonic acid","ND","4.31","2305039-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","05/02/2023","06/09/2023","8:2FTS","1H,1H, 2H, 2H-Perfluorodecane sulfonic acid","ND","4.31","2305039-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","05/02/2023","06/09/2023","9Cl-PF3ONS","9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acd","ND","4.31","2305039-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","05/02/2023","06/09/2023","ADONA","4,8-Dioxa-3H-perfluorononanoic acid","ND","10.8","2305039-01"
